/I_270/OUTA X,/I_270/OUTA Y,/I_405/OUTA X,/I_405/OUTA Y,/I_540/OUTA X,/I_540/OUTA Y,/I_675/OUTA X,/I_675/OUTA Y,/I_810/OUTA X,/I_810/OUTA Y,/I_945/OUTA X,/I_945/OUTA Y,/I_1080/OUTA X,/I_1080/OUTA Y,/I_1215/OUTA X,/I_1215/OUTA Y,/I_1350/IN X,/I_1350/IN Y
0.0001651253545199853,2.949622610902891e-11,0.0001651253545199853,3.331179191986932e-11,0.0001651253545199853,3.899008631710892e-11,0.0001651253545199853,4.61479528459333e-11,0.0001651253545199853,5.299147701693362e-11,0.0001651253545199853,5.950548602036901e-11,0.0001651253545199853,6.56992999212322e-11,0.0001651253545199853,7.158986574066291e-11,0.0001651253545199853,-1.339498581920059e-10
0.0001751253545199853,2.953033846201467e-11,0.0001751253545199853,3.33496181241583e-11,0.0001751253545199853,3.903338968125601e-11,0.0001751253545199853,4.619784429177963e-11,0.0001751253545199853,5.304733833341917e-11,0.0001751253545199853,5.95667177159532e-11,0.0001751253545199853,6.576534577002776e-11,0.0001751253545199853,7.1660218473357e-11,0.0001751253545199853,-1.299498581920059e-10
0.0001851253545199853,2.956643232414296e-11,0.0001851253545199853,3.338963981489541e-11,0.0001851253545199853,3.907920409318614e-11,0.0001851253545199853,4.625062563427883e-11,0.0001851253545199853,5.310643190192308e-11,0.0001851253545199853,5.963148874868709e-11,0.0001851253545199853,6.583520540851016e-11,0.0001851253545199853,7.17346297675807e-11,0.0001851253545199853,-1.259498581920059e-10
0.0001951253545199853,2.960468959466185e-11,0.0001951253545199853,3.343205837549497e-11,0.0001951253545199853,3.912775966900274e-11,0.0001951253545199853,4.630656141934488e-11,0.0001951253545199853,5.316905329584211e-11,0.0001951253545199853,5.970012244196727e-11,0.0001951253545199853,6.590922688613512e-11,0.0001951253545199853,7.181346965577305e-11,0.0001951253545199853,-1.219498581920059e-10
0.0002051253545199853,2.964531532555232e-11,0.0002051253545199853,3.347710080191721e-11,0.0002051253545199853,3.91793157644471e-11,0.0002051253545199853,4.636594977034917e-11,0.0002051253545199853,5.32355355641342e-11,0.0002051253545199853,5.977298307069463e-11,0.0002051253545199853,6.598780229141004e-11,0.0002051253545199853,7.189715494556313e-11,0.0002051253545199853,-1.179498581920059e-10
0.0002151253545199853,2.96885415308692e-11,0.0002151253545199853,3.352502391335936e-11,0.0002151253545199853,3.923416577731845e-11,0.0002151253545199853,4.642912789672889e-11,0.0002151253545199853,5.33062553726953e-11,0.0002151253545199853,5.985048256513248e-11,0.0002151253545199853,6.607137495374098e-11,0.0002151253545199853,7.198615686144913e-11,0.0002151253545199853,-1.139498581920059e-10
0.0002251253545199853,2.973463177169999e-11,0.0002251253545199853,3.357611941958628e-11,0.0002251253545199853,3.929264292593126e-11,0.0002251253545199853,4.649647872086797e-11,0.0002251253545199853,5.33816403910181e-11,0.0002251253545199853,5.993308857258046e-11,0.0002251253545199853,6.616044810238316e-11,0.0002251253545199853,7.208101023095183e-11,0.0002251253545199853,-1.099498581920059e-10
0.0002351253545199853,2.978388670646265e-11,0.0002351253545199853,3.363072005423545e-11,0.0002351253545199853,3.935512724190902e-11,0.0002351253545199853,4.65684388958995e-11,0.0002351253545199853,5.346217822740133e-11,0.0002351253545199853,6.002133420712962e-11,0.0002351253545199853,6.62555953365482e-11,0.0002351253545199853,7.21823245901077e-11,0.0002351253545199853,-1.059498581920059e-10
0.0002451253545199853,2.983665099606567e-11,0.0002451253545199853,3.368920720304091e-11,0.0002451253545199853,3.942205426511938e-11,0.0002451253545199853,4.664550877280019e-11,0.0002451253545199853,5.354842753397461e-11,0.0002451253545199853,6.011583016449606e-11,0.0002451253545199853,6.635747363257881e-11,0.0002451253545199853,7.22907979772678e-11,0.0002451253545199853,-1.019498581920059e-10
0.0002551253545199853,2.98933227316746e-11,0.0002551253545199853,3.375202131222919e-11,0.0002551253545199853,3.949392690302377e-11,0.0002551253545199853,4.67282659925709e-11,0.0002551253545199853,5.364103314843224e-11,0.0002551253545199853,6.021728123827535e-11,0.0002551253545199853,6.646684107459176e-11,0.0002551253545199853,7.240723573377797e-11,0.0002551253545199853,-9.794985819200588e-11
0.0002651253545199853,2.995436229454146e-11,0.0002651253545199853,3.381967169911235e-11,0.0002651253545199853,3.957132662638699e-11,0.0002651253545199853,4.681737832244692e-11,0.0002651253545199853,5.374074039782388e-11,0.0002651253545199853,6.032650192610467e-11,0.0002651253545199853,6.658457361159841e-11,0.0002651253545199853,7.253256827587161e-11,0.0002651253545199853,-9.394985819200588e-11
0.0002751253545199853,3.002030465792047e-11,0.0002751253545199853,3.389275011807324e-11,0.0002751253545199853,3.9654928907633e-11,0.0002751253545199853,4.691362132581759e-11,0.0002751253545199853,5.384841475638484e-11,0.0002751253545199853,6.044443784375085e-11,0.0002751253545199853,6.67116880166e-11,0.0002751253545199853,7.266787540906541e-11,0.0002751253545199853,-8.994985819200587e-11
0.0002851253545199854,3.009177576663924e-11,0.0002851253545199854,3.397194883784019e-11,0.0002851253545199854,3.974552380392279e-11,0.0002851253545199854,4.701790192860735e-11,0.0002851253545199854,5.396506807222275e-11,0.0002851253545199854,6.057219430476957e-11,0.0002851253545199854,6.68493725384855e-11,0.0002851253545199854,7.281441880014088e-11,0.0002851253545199854,-8.594985819200586e-11
0.0002951253545199854,3.016951292211063e-11,0.0002951253545199854,3.405808314791064e-11,0.0002951253545199854,3.9844041587076e-11,0.0002951253545199854,4.713128776179165e-11,0.0002951253545199854,5.409189121956652e-11,0.0002951253545199854,6.071107189908885e-11,0.0002951253545199854,6.699902505701959e-11,0.0002951253545199854,7.297368239431521e-11,0.0002951253545199854,-8.194985819200586e-11
0.0003051253545199854,3.025439051399386e-11,0.0003051253545199854,3.415211975627856e-11,0.0003051253545199854,3.995158506822789e-11,0.0003051253545199854,4.725504415052285e-11,0.0003051253545199854,5.423029524057058e-11,0.0003051253545199854,6.08626113013324e-11,0.0003051253545199854,6.716230111440007e-11,0.0003051253545199854,7.314742327252519e-11,0.0003051253545199854,-7.794985819200584e-11
0.0003151253545199854,3.034745310521356e-11,0.0003151253545199854,3.425521328939569e-11,0.0003151253545199854,4.006947112849697e-11,0.0003151253545199854,4.739068161599974e-11,0.0003151253545199854,5.438196415682124e-11,0.0003151253545199854,6.102865076422792e-11,0.0003151253545199854,6.734117551898851e-11,0.0003151253545199854,7.33377368533806e-11,0.0003151253545199854,-7.394985819200583e-11
0.0003251253545199855,3.044995846254341e-11,0.0003251253545199855,3.436875375036073e-11,0.0003251253545199855,4.019928469847587e-11,0.0003251253545199855,4.754001758857031e-11,0.0003251253545199855,5.454892355096337e-11,0.0003251253545199855,6.1211400749052e-11,0.0003251253545199855,6.753802227894284e-11,0.0003251253545199855,7.354714146280143e-11,0.0003251253545199855,-6.994985819200582e-11
0.0003351253545199855,3.056343412284656e-11,0.0003351253545199855,3.449442888590172e-11,0.0003351253545199855,4.03429496668439e-11,0.0003351253545199855,4.770525743564162e-11,0.0003351253545199855,5.473363056992215e-11,0.0003351253545199855,6.141354182177185e-11,0.0003351253545199855,6.775571940794971e-11,0.0003351253545199855,7.377868917048778e-11,0.0003351253545199855,-6.594985819200578e-11
0.0003451253545199855,3.068975261989442e-11,0.0003451253545199855,3.463430709822309e-11,0.0003451253545199855,4.05028231054325e-11,0.0003451253545199855,4.788910207415139e-11,0.0003451253545199855,5.49390933934211e-11,0.0003451253545199855,6.16383545309402e-11,0.0003451253545199855,6.799778790024245e-11,0.0003451253545199855,7.403611269074652e-11,0.0003451253545199855,-6.19498581920058e-11
0.0003551253545199856,3.083123278916664e-11,0.0003551253545199856,3.479094905498237e-11,0.0003551253545199856,4.068182204451016e-11,0.0003551253545199856,4.809489266820202e-11,0.0003551253545199856,5.516903177660669e-11,0.0003551253545199856,6.188989383655064e-11,0.0003551253545199856,6.826857827152869e-11,0.0003551253545199856,7.432402245458694e-11,0.0003551253545199856,-5.794985819200578e-11
0.0003651253545199856,3.099077803650793e-11,0.0003651253545199856,3.496755995619006e-11,0.0003651253545199856,4.088359633204267e-11,0.0003651253545199856,4.8326807786113e-11,0.0003651253545199856,5.542809564719124e-11,0.0003651253545199856,6.217322645738702e-11,0.0003651253545199856,6.857352422491802e-11,0.0003651253545199856,7.464817443095095e-11,0.0003651253545199856,-5.394985819200577e-11
0.0003751253545199856,3.117206778896549e-11,0.0003751253545199856,3.516820026310165e-11,0.0003751253545199856,4.111276770584585e-11,0.0003751253545199856,4.859013585968648e-11,0.0003751253545199856,5.572216695751671e-11,0.0003751253545199856,6.249475836613911e-11,0.0003751253545199856,6.891949240610127e-11,0.0003751253545199856,7.501583913869106e-11,0.0003751253545199856,-4.994985819200576e-11
0.0003851253545199856,3.137982667218926e-11,0.0003851253545199856,3.539808181341943e-11,0.0003851253545199856,4.137526548654095e-11,0.0003851253545199856,4.889165740347568e-11,0.0003851253545199856,5.605878275485874e-11,0.0003851253545199856,6.286269339802664e-11,0.0003851253545199856,6.93152717690567e-11,0.0003851253545199856,7.54363175344713e-11,0.0003851253545199856,-4.594985819200575e-11
0.0003951253545199857,3.162020915450761e-11,0.0003951253545199857,3.566399067942372e-11,0.0003951253545199857,4.167880554154049e-11,0.0003951253545199857,4.924018976768008e-11,0.0003951253545199857,5.644773751877758e-11,0.0003951253545199857,6.328768551489602e-11,0.0003951253545199857,6.977226889453497e-11,0.0003951253545199857,7.592167331534372e-11,0.0003951253545199857,-4.194985819200574e-11
0.0004051253545199857,3.190135854179435e-11,0.0004051253545199857,3.597490124256081e-11,0.0004051253545199857,4.203358512847753e-11,0.0004051253545199857,4.964737640311961e-11,0.0004051253545199857,5.690195475993181e-11,0.0004051253545199857,6.37837814976062e-11,0.0004051253545199857,7.030551172237157e-11,0.0004051253545199857,7.648778883966707e-11,0.0004051253545199857,-3.794985819200575e-11
0.0004151253545199857,3.22342335342948e-11,0.0004151253545199857,3.63428833762442e-11,0.0004151253545199857,4.245330814351681e-11,0.0004151253545199857,5.012884961286672e-11,0.0004151253545199857,5.743876911257815e-11,0.0004151253545199857,6.436980556607567e-11,0.0004151253545199857,7.093512172191402e-11,0.0004151253545199857,7.715591171389901e-11,0.0004151253545199857,-3.394985819200574e-11
0.0004249261418525539,3.262510039883282e-11,0.0004249261418525539,3.677479659918253e-11,0.0004249261418525539,4.294570264783457e-11,0.0004249261418525539,5.069334095735902e-11,0.0004249261418525539,5.806777225680924e-11,0.0004249261418525539,6.505607782593893e-11,0.0004249261418525539,7.167203095409896e-11,0.0004249261418525539,7.793748456843563e-11,0.0004249261418525539,-3.002954325897844e-11
0.0004341985800510747,3.307151563552892e-11,0.0004341985800510747,3.72678606337127e-11,0.0004341985800510747,4.350748430645672e-11,0.0004341985800510747,5.13369252069636e-11,0.0004341985800510747,5.878441865021536e-11,0.0004341985800510747,6.583745875604827e-11,0.0004341985800510747,7.251053530614388e-11,0.0004341985800510747,7.882626963932469e-11,0.0004341985800510747,-2.632056797957012e-11
0.000442890857664173,3.357848271344918e-11,0.000442890857664173,3.782751233206062e-11,0.000442890857664173,4.414471657488078e-11,0.000442890857664173,5.206636387734581e-11,0.000442890857664173,5.95960393519785e-11,0.000442890857664173,6.672173440446128e-11,0.000442890857664173,7.345877735389702e-11,0.000442890857664173,7.983068278174636e-11,0.000442890857664173,-2.284365693433084e-11
0.0004510244927467408,3.415429820030579e-11,0.0004510244927467408,3.846280170335732e-11,0.0004510244927467408,4.486754139778157e-11,0.0004510244927467408,5.289303523877264e-11,0.0004510244927467408,6.051504728092981e-11,0.0004510244927467408,6.772217073713573e-11,0.0004510244927467408,7.453071845938941e-11,0.0004510244927467408,8.096524601883802e-11,0.0004510244927467408,-1.959020290130368e-11
0.0004586226956126579,3.480771425475861e-11,0.0004586226956126579,3.918324973669836e-11,0.0004586226956126579,4.56865862124298e-11,0.0004586226956126579,5.382879970412609e-11,0.0004586226956126579,6.15543139741779e-11,0.0004586226956126579,6.885245322872879e-11,0.0004586226956126579,7.574068897653851e-11,0.0004586226956126579,8.224479191835127e-11,0.0004586226956126579,-1.655092175493682e-11
0.0004657350299949882,3.555043452631875e-11,0.0004657350299949882,4.000159225338421e-11,0.0004657350299949882,4.66160688489836e-11,0.0004657350299949882,5.488952555516456e-11,0.0004657350299949882,6.273106281138478e-11,0.0004657350299949882,7.01308984122252e-11,0.0004657350299949882,7.710787444102461e-11,0.0004657350299949882,8.368918615506653e-11,0.0004657350299949882,-1.370598800200473e-11
0.0004724249478771548,3.639788252732335e-11,0.0004724249478771548,4.093460861400898e-11,0.0004724249478771548,4.76747087575261e-11,0.0004724249478771548,5.609608477958187e-11,0.0004724249478771548,6.406792772192672e-11,0.0004724249478771548,7.158155730174862e-11,0.0004724249478771548,7.865744906814054e-11,0.0004724249478771548,8.532447947188409e-11,0.0004724249478771548,-1.103002084913807e-11
0.0004787583948028496,3.736954998218384e-11,0.0004787583948028496,4.200347979026392e-11,0.0004787583948028496,4.888609025238233e-11,0.0004787583948028496,5.747470413517003e-11,0.0004787583948028496,6.559327674132647e-11,0.0004787583948028496,7.323450045988333e-11,0.0004787583948028496,8.042081501984704e-11,0.0004787583948028496,8.718309669970402e-11,0.0004787583948028496,-8.496642078860152e-12
0.0004848046589683174,3.849061247182351e-11,0.0004848046589683174,4.323553022660735e-11,0.0004848046589683174,5.028057566250852e-11,0.0004848046589683174,5.90590532424299e-11,0.0004848046589683174,6.734343031837143e-11,0.0004848046589683174,7.512812973958895e-11,0.0004848046589683174,8.243797831492019e-11,0.0004848046589683174,8.930625388185719e-11,0.0004848046589683174,-6.078136412673018e-12
0.0004906371761893792,3.979412142250147e-11,0.0004906371761893792,4.466658158275524e-11,0.0004906371761893792,5.189787400973454e-11,0.0004906371761893792,6.089302398268359e-11,0.0004906371761893792,6.936558896876342e-11,0.0004906371761893792,7.73122040579258e-11,0.0004906371761893792,8.476063380048245e-11,0.0004906371761893792,9.174707270241091e-11,0.0004906371761893792,-3.745129524248344e-12
0.0004963374067351698,4.132470414188999e-11,0.0004963374067351698,4.634492575871836e-11,0.0004963374067351698,5.379137689141597e-11,0.0004963374067351698,6.303542391887614e-11,0.0004963374067351698,7.172278077286941e-11,0.0004963374067351698,7.985295830498915e-11,0.0004963374067351698,8.745739146888888e-11,0.0004963374067351698,9.457586534129019e-11,0.0004963374067351698,-1.465037305932097e-12
0.0005017640729457813,4.306184243009281e-11,0.0005017640729457813,4.824722515546051e-11,0.0005017640729457813,5.593332067595736e-11,0.0005017640729457813,6.545274571808589e-11,0.0005017640729457813,7.437597151917575e-11,0.0005017640729457813,8.27061409846063e-11,0.0005017640729457813,9.047914036864538e-11,0.0005017640729457813,9.773903903039988e-11,0.0005017640729457813,7.056291783125009e-13
0.0005069304552611327,4.499096951293412e-11,0.0005069304552611327,5.035694930574265e-11,0.0005069304552611327,5.830384150213054e-11,0.0005069304552611327,6.812061283171803e-11,0.0005069304552611327,7.729640727756581e-11,0.0005069304552611327,8.58388567846612e-11,0.0005069304552611327,9.378913531396035e-11,0.0005069304552611327,1.011963153557462e-10,0.0005069304552611327,2.772182104453046e-12
0.0005120292240342773,4.710673452524361e-11,0.0005120292240342773,5.266831224365937e-11,0.0005120292240342773,6.089569226551354e-11,0.0005120292240342773,7.102930533316123e-11,0.0005120292240342773,8.047188130055699e-11,0.0005120292240342773,8.92365075424415e-11,0.0005120292240342773,9.737054919504317e-11,0.0005120292240342773,1.0492883540197e-10,0.0005120292240342773,4.811689613710932e-12
0.0005175009170202676,4.951450059926725e-11,0.0005175009170202676,5.529524689859532e-11,0.0005175009170202676,6.383454136762121e-11,0.0005175009170202676,7.431683147635201e-11,0.0005175009170202676,8.405002089443355e-11,0.0005175009170202676,9.305409676611486e-11,0.0005175009170202676,1.013839609865184e-10,0.0005175009170202676,1.09101269840288e-10,0.0005175009170202676,7.000366808107036e-12
0.0005229771832648778,5.19837763444606e-11,0.0005229771832648778,5.798466731180707e-11,0.0005229771832648778,6.683498174979222e-11,0.0005229771832648778,7.766106777250148e-11,0.0005229771832648778,8.767742910699763e-11,0.0005229771832648778,9.691191188633204e-11,0.0005229771832648778,1.054276772353962e-10,0.0005229771832648778,1.132936484859901e-10,0.0005229771832648778,9.190873305951105e-12
0.0005280136499093402,5.425715472162259e-11,0.0005280136499093402,6.045610315457383e-11,0.0005280136499093402,6.958436721794603e-11,0.0005280136499093402,8.071433340363516e-11,0.0005280136499093402,9.097794706975431e-11,0.0005280136499093402,1.004109871869799e-10,0.0005280136499093402,1.090846272044319e-10,0.0005280136499093402,1.170748192534235e-10,0.0005280136499093402,1.120545996373609e-11
0.0005329378335152247,5.645176409535832e-11,0.0005329378335152247,6.283744650840066e-11,0.0005329378335152247,7.222616179111937e-11,0.0005329378335152247,8.363789672027343e-11,0.0005329378335152247,9.412801504618518e-11,0.0005329378335152247,1.037405742957942e-10,0.0005329378335152247,1.125548124928204e-10,0.0005329378335152247,1.206537949571804e-10,0.0005329378335152247,1.317513340608985e-11
0.0005379559412993721,5.863942771319877e-11,0.0005379559412993721,6.520679158983113e-11,0.0005379559412993721,7.484736684677843e-11,0.0005379559412993721,8.652871194078045e-11,0.0005379559412993721,9.723289699572594e-11,0.0005379559412993721,1.070128026414053e-10,0.0005379559412993721,1.159560527412175e-10,0.0005379559412993721,1.241530502594852e-10,0.0005379559412993721,1.518237651974883e-11
0.0005431131785325953,6.082114242664867e-11,0.0005431131785325953,6.756522071674242e-11,0.0005431131785325953,7.744924277997951e-11,0.0005431131785325953,8.938838626393318e-11,0.0005431131785325953,1.002946487638304e-10,0.0005431131785325953,1.102302266279148e-10,0.0005431131785325953,1.1929151169518e-10,0.0005431131785325953,1.275763596896176e-10,0.0005431131785325953,1.724527141303812e-11
0.0005484708857251294,6.300457663698792e-11,0.0005484708857251294,6.992100063396387e-11,0.0005484708857251294,8.00409354014828e-11,0.0005484708857251294,9.222713525334927e-11,0.0005484708857251294,1.033244782474865e-10,0.0005484708857251294,1.134049741398173e-10,0.0005484708857251294,1.225741738639043e-10,0.0005484708857251294,1.309374974019887e-10,0.0005484708857251294,1.938835429005178e-11
0.0005540877652347812,6.519477605827113e-11,0.0005540877652347812,7.227951140222957e-11,0.0005540877652347812,8.262832791110046e-11,0.0005540877652347812,9.505148373423302e-11,0.0005540877652347812,1.063295239648184e-10,0.0005540877652347812,1.1654479945926e-10,0.0005540877652347812,1.258123785950027e-10,0.0005540877652347812,1.342453603443864e-10,0.0005540877652347812,2.16351060939125e-11
0.0005600038549806683,6.738803810949198e-11,0.0005600038549806683,7.463670324315296e-11,0.0005600038549806683,8.520694376911023e-11,0.0005600038549806683,9.785662560392132e-11,0.0005600038549806683,1.093048256641745e-10,0.0005600038549806683,1.196448035092993e-10,0.0005600038549806683,1.290013815323838e-10,0.0005600038549806683,1.374954431575184e-10,0.0005600038549806683,2.400154199226733e-11
0.0005662582649127834,6.95798050865228e-11,0.0005662582649127834,7.698764721662823e-11,0.0005662582649127834,8.777140763837197e-11,0.0005662582649127834,1.006368560714919e-10,0.0005662582649127834,1.122445660389828e-10,0.0005662582649127834,1.226992318107676e-10,0.0005662582649127834,1.321356109393365e-10,0.0005662582649127834,1.406824406441871e-10,0.0005662582649127834,2.650330596511334e-11
